# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_prom/subset/int_prom_600_4.bed data/fantom_enh/subset/fantom_600bp_promMatch_4.bed 2017-03-30 12:06:27.865169
#
#
#

spectrum6
F1                   0.770 (10)
WRACC                0.584 (10)
accuracy             0.792 (10)
balanced_err         0.208 (10)
cross_corr           0.595 (10)
error_rate           0.208 (10)
pr_auc               0.887 (10)
precision            0.859 (10)
recall               0.698 (10)
roc_auc              0.870 (10)
specificity          0.886 (10)

