# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/roadmap_histones/subsets/filtered/promoters_filtered_600_3.bed data/roadmap_histones/subsets/filtered/enhancers_filtered_600_3.bed 2018-08-17 21:27:09.026613
#
#
#

spectrum6
F1                   0.560 (10)
WRACC                0.137 (10)
accuracy             0.569 (10)
balanced_err         0.432 (10)
cross_corr           0.137 (10)
error_rate           0.432 (10)
pr_auc               0.603 (10)
precision            0.571 (10)
recall               0.549 (10)
roc_auc              0.599 (10)
specificity          0.588 (10)

