# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/subset/fantom_600bp_promMatch_3.bed data/fantom_prom/subset/int_prom_600_3.bed 2017-03-30 11:27:39.133952
#
#
#

spectrum6
F1                   0.808 (10)
WRACC                0.570 (10)
accuracy             0.785 (10)
balanced_err         0.215 (10)
cross_corr           0.587 (10)
error_rate           0.215 (10)
pr_auc               0.838 (10)
precision            0.732 (10)
recall               0.902 (10)
roc_auc              0.864 (10)
specificity          0.669 (10)

