# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_prom/subset/int_prom_600_8.bed data/fantom_enh/subset/fantom_600bp_promMatch_8.bed 2017-03-30 13:50:10.673431
#
#
#

spectrum6
F1                   0.766 (10)
WRACC                0.580 (10)
accuracy             0.790 (10)
balanced_err         0.210 (10)
cross_corr           0.593 (10)
error_rate           0.210 (10)
pr_auc               0.876 (10)
precision            0.864 (10)
recall               0.688 (10)
roc_auc              0.861 (10)
specificity          0.892 (10)

