# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/roadmap_histones/subsets/filtered/promoters_filtered_600_6.bed data/roadmap_histones/subsets/filtered/enhancers_filtered_600_6.bed 2018-08-18 11:27:58.599970
#
#
#

spectrum6
F1                   0.607 (10)
WRACC                0.231 (10)
accuracy             0.616 (10)
balanced_err         0.384 (10)
cross_corr           0.232 (10)
error_rate           0.384 (10)
pr_auc               0.651 (10)
precision            0.621 (10)
recall               0.594 (10)
roc_auc              0.659 (10)
specificity          0.637 (10)

