# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/roadmap_histones/subsets/filtered/enhancers_filtered_600_9.bed data/roadmap_histones/subsets/filtered/promoters_filtered_600_9.bed 2018-08-19 04:10:43.437217
#
#
#

spectrum6
F1                   0.581 (10)
WRACC                0.150 (10)
accuracy             0.575 (10)
balanced_err         0.425 (10)
cross_corr           0.150 (10)
error_rate           0.425 (10)
pr_auc               0.597 (10)
precision            0.572 (10)
recall               0.591 (10)
roc_auc              0.605 (10)
specificity          0.558 (10)

