# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/roadmap_histones/subsets/filtered/promoters_filtered_600_5.bed data/roadmap_histones/subsets/filtered/enhancers_filtered_600_5.bed 2018-08-18 06:46:22.901312
#
#
#

spectrum6
F1                   0.585 (10)
WRACC                0.190 (10)
accuracy             0.595 (10)
balanced_err         0.405 (10)
cross_corr           0.190 (10)
error_rate           0.405 (10)
pr_auc               0.618 (10)
precision            0.600 (10)
recall               0.572 (10)
roc_auc              0.626 (10)
specificity          0.618 (10)

