# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/roadmap_histones/subsets/filtered/enhancers_filtered_600_10.bed data/roadmap_histones/subsets/filtered/promoters_filtered_600_10.bed 2018-08-19 09:13:28.410042
#
#
#

spectrum6
F1                   0.567 (10)
WRACC                0.125 (10)
accuracy             0.562 (10)
balanced_err         0.438 (10)
cross_corr           0.125 (10)
error_rate           0.438 (10)
pr_auc               0.568 (10)
precision            0.561 (10)
recall               0.573 (10)
roc_auc              0.586 (10)
specificity          0.551 (10)

