# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/subset/fantom_600bp_promMatch_6.bed data/fantom_prom/subset/int_prom_600_6.bed 2017-03-30 12:44:57.935875
#
#
#

spectrum6
F1                   0.805 (10)
WRACC                0.569 (10)
accuracy             0.784 (10)
balanced_err         0.216 (10)
cross_corr           0.582 (10)
error_rate           0.216 (10)
pr_auc               0.828 (10)
precision            0.735 (10)
recall               0.891 (10)
roc_auc              0.854 (10)
specificity          0.678 (10)

