# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/subset/fantom_600bp_promMatch_5.bed data/fantom_prom/subset/int_prom_600_5.bed 2017-03-30 12:19:22.928263
#
#
#

spectrum6
F1                   0.799 (10)
WRACC                0.555 (10)
accuracy             0.778 (10)
balanced_err         0.223 (10)
cross_corr           0.569 (10)
error_rate           0.223 (10)
pr_auc               0.813 (10)
precision            0.728 (10)
recall               0.887 (10)
roc_auc              0.846 (10)
specificity          0.668 (10)

