# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/roadmap_histones/subsets/filtered/promoters_filtered_600_4.bed data/roadmap_histones/subsets/filtered/enhancers_filtered_600_4.bed 2018-08-18 02:13:13.122521
#
#
#

spectrum6
F1                   0.586 (10)
WRACC                0.201 (10)
accuracy             0.600 (10)
balanced_err         0.400 (10)
cross_corr           0.201 (10)
error_rate           0.400 (10)
pr_auc               0.629 (10)
precision            0.608 (10)
recall               0.567 (10)
roc_auc              0.641 (10)
specificity          0.634 (10)

