# ./bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config noncgi_promoters_600_1.bed noncgi_enhancers_subset_600_1.bed 2018-12-05 15:37:08.729419
#
#
#

spectrum6
F1                   0.694 (10)
WRACC                0.409 (10)
accuracy             0.704 (10)
balanced_err         0.296 (10)
cross_corr           0.410 (10)
error_rate           0.296 (10)
pr_auc               0.772 (10)
precision            0.719 (10)
recall               0.670 (10)
roc_auc              0.772 (10)
specificity          0.738 (10)

