# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_enh/subset/fantom_600bp_promMatch_2.bed data/fantom_prom/subset/int_prom_600_2.bed 2017-03-30 11:01:22.390630
#
#
#

spectrum6
F1                   0.811 (10)
WRACC                0.585 (10)
accuracy             0.792 (10)
balanced_err         0.208 (10)
cross_corr           0.597 (10)
error_rate           0.208 (10)
pr_auc               0.837 (10)
precision            0.744 (10)
recall               0.892 (10)
roc_auc              0.866 (10)
specificity          0.693 (10)

