# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/roadmap_histones/subsets/filtered/enhancers_filtered_600_6.bed data/roadmap_histones/subsets/filtered/promoters_filtered_600_6.bed 2018-08-18 13:49:50.240603
#
#
#

spectrum6
F1                   0.624 (10)
WRACC                0.228 (10)
accuracy             0.614 (10)
balanced_err         0.386 (10)
cross_corr           0.228 (10)
error_rate           0.386 (10)
pr_auc               0.646 (10)
precision            0.608 (10)
recall               0.643 (10)
roc_auc              0.660 (10)
specificity          0.585 (10)

