# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/roadmap_histones/subsets/filtered/enhancers_filtered_600_7.bed data/roadmap_histones/subsets/filtered/promoters_filtered_600_7.bed 2018-08-18 18:32:23.309868
#
#
#

spectrum6
F1                   0.636 (10)
WRACC                0.243 (10)
accuracy             0.621 (10)
balanced_err         0.379 (10)
cross_corr           0.244 (10)
error_rate           0.379 (10)
pr_auc               0.646 (10)
precision            0.613 (10)
recall               0.662 (10)
roc_auc              0.669 (10)
specificity          0.581 (10)

