# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_prom/subset/int_prom_600_5.bed data/fantom_enh/subset/fantom_600bp_promMatch_5.bed 2017-03-30 12:32:13.317185
#
#
#

spectrum6
F1                   0.752 (10)
WRACC                0.558 (10)
accuracy             0.779 (10)
balanced_err         0.221 (10)
cross_corr           0.571 (10)
error_rate           0.221 (10)
pr_auc               0.865 (10)
precision            0.855 (10)
recall               0.672 (10)
roc_auc              0.846 (10)
specificity          0.886 (10)

