# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_prom/subset/int_prom_600_3.bed data/fantom_enh/subset/fantom_600bp_promMatch_3.bed 2017-03-30 11:40:29.643908
#
#
#

spectrum6
F1                   0.757 (10)
WRACC                0.570 (10)
accuracy             0.785 (10)
balanced_err         0.215 (10)
cross_corr           0.586 (10)
error_rate           0.215 (10)
pr_auc               0.884 (10)
precision            0.870 (10)
recall               0.670 (10)
roc_auc              0.864 (10)
specificity          0.900 (10)

