# ./bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config noncgi_enhancers_subset_600_1.bed noncgi_promoters_600_1.bed 2018-12-05 16:28:07.066273
#
#
#

spectrum6
F1                   0.712 (10)
WRACC                0.406 (10)
accuracy             0.703 (10)
balanced_err         0.297 (10)
cross_corr           0.407 (10)
error_rate           0.297 (10)
pr_auc               0.755 (10)
precision            0.691 (10)
recall               0.736 (10)
roc_auc              0.771 (10)
specificity          0.670 (10)

