# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/roadmap_histones/subsets/filtered/enhancers_filtered_600_3.bed data/roadmap_histones/subsets/filtered/promoters_filtered_600_3.bed 2018-08-17 23:53:49.937451
#
#
#

spectrum6
F1                   0.573 (10)
WRACC                0.135 (10)
accuracy             0.568 (10)
balanced_err         0.432 (10)
cross_corr           0.135 (10)
error_rate           0.432 (10)
pr_auc               0.590 (10)
precision            0.566 (10)
recall               0.580 (10)
roc_auc              0.600 (10)
specificity          0.555 (10)

